epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,14.2272,1.36302,2.68007,1.04527,0.02954,0.83333,0.2533,0.16523,1.27425,3.84379,0.91869,6.71788e-05,6.71788e-05,6.71788e-05
40,14.5564,1.34451,2.73102,1.01814,0.02954,0.83333,0.2533,0.16523,1.27425,3.84379,0.91869,6.34332e-05,6.34332e-05,6.34332e-05
41,17.2424,1.21146,2.68919,1.01956,0.03011,0.83333,0.26822,0.17684,1.29954,3.82693,0.92205,5.94048e-05,5.94048e-05,5.94048e-05
42,17.7161,1.27191,2.63811,1.01044,0.03011,0.83333,0.26822,0.17684,1.29954,3.82693,0.92205,5.50937e-05,5.50937e-05,5.50937e-05
43,18.0965,1.28309,2.5562,1.01795,0.03064,0.83333,0.2709,0.17801,1.31038,3.80122,0.92941,5.04998e-05,5.04998e-05,5.04998e-05
44,18.4576,1.28195,2.66052,0.94458,0.03064,0.83333,0.2709,0.17801,1.31038,3.80122,0.92941,4.56232e-05,4.56232e-05,4.56232e-05
45,18.8417,1.22888,2.51908,0.96397,0.02951,0.83333,0.28869,0.18643,1.32207,3.77113,0.93723,4.04638e-05,4.04638e-05,4.04638e-05
46,19.1827,1.27514,2.66473,1.07436,0.02951,0.83333,0.28869,0.18643,1.32207,3.77113,0.93723,3.50217e-05,3.50217e-05,3.50217e-05
47,19.5495,1.33109,2.71652,1.05994,0.02903,0.83333,0.29255,0.18543,1.3353,3.75139,0.94141,2.92968e-05,2.92968e-05,2.92968e-05
48,19.8839,1.2853,2.52634,1.0098,0.02903,0.83333,0.29255,0.18543,1.3353,3.75139,0.94141,2.32893e-05,2.32893e-05,2.32893e-05
49,20.2352,1.17631,2.52626,0.95523,0.03005,0.83333,0.2937,0.18558,1.341,3.72911,0.94714,1.69989e-05,1.69989e-05,1.69989e-05
50,20.5477,1.1868,2.51433,0.91933,0.03005,0.83333,0.2937,0.18558,1.341,3.72911,0.94714,1.04258e-05,1.04258e-05,1.04258e-05
